C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-00,59 ST,NQR456,BMT,05/20/2016,04:00:00,REGULAR,0000702216,0002652964                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/20/2016,08:00:00,REGULAR,0000702231,0002653257                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/20/2016,12:00:00,REGULAR,0000702291,0002654112                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/20/2016,16:00:00,REGULAR,0000702436,0002654581                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/20/2016,20:00:00,REGULAR,0000702803,0002655240                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/14/2016,00:00:00,REGULAR,0005182936,0008199282                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/14/2016,04:00:00,REGULAR,0005182999,0008199333                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/14/2016,08:00:00,REGULAR,0005183038,0008199455                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/14/2016,12:00:00,REGULAR,0005183215,0008199871                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/14/2016,16:00:00,REGULAR,0005183614,0008200291                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/14/2016,20:00:00,REGULAR,0005184080,0008200730                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/15/2016,00:00:00,REGULAR,0005184400,0008200941                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/15/2016,04:00:00,REGULAR,0005184475,0008200973                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/15/2016,08:00:00,REGULAR,0005184507,0008201039                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/15/2016,12:00:00,REGULAR,0005184652,0008201329                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/15/2016,16:00:00,REGULAR,0005184999,0008201689                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/15/2016,20:00:00,REGULAR,0005185382,0008202074                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/16/2016,00:00:00,REGULAR,0005185658,0008202249                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/16/2016,04:00:00,REGULAR,0005185677,0008202261                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/16/2016,08:00:00,REGULAR,0005185741,0008202589                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/16/2016,12:00:00,REGULAR,0005185946,0008203429                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/16/2016,16:00:00,REGULAR,0005186363,0008203838                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/16/2016,20:00:00,REGULAR,0005187242,0008204449                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/17/2016,00:00:00,REGULAR,0005187663,0008204639                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/17/2016,04:00:00,REGULAR,0005187690,0008204650                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/17/2016,07:42:01,REGULAR,0005187739,0008204917                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/17/2016,08:00:00,REGULAR,0005187751,0008205011                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/17/2016,12:00:00,REGULAR,0005187959,0008205852                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/17/2016,16:00:00,REGULAR,0005188365,0008206274                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/17/2016,20:00:00,REGULAR,0005189241,0008206893                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/18/2016,00:00:00,REGULAR,0005189581,0008207149                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/18/2016,04:00:00,REGULAR,0005189619,0008207177                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/18/2016,08:00:00,REGULAR,0005189684,0008207530                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/18/2016,12:00:00,REGULAR,0005189944,0008208361                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/18/2016,16:00:00,REGULAR,0005190354,0008208828                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/18/2016,20:00:00,REGULAR,0005191219,0008209438                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/19/2016,00:00:00,REGULAR,0005191581,0008209669                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/19/2016,04:00:00,REGULAR,0005191635,0008209687                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/19/2016,08:00:00,REGULAR,0005191696,0008210030                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/19/2016,12:00:00,REGULAR,0005191920,0008210885                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/19/2016,16:00:00,REGULAR,0005192342,0008211344                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/19/2016,20:00:00,REGULAR,0005193257,0008211932                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/20/2016,00:00:00,REGULAR,0005193707,0008212171                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/20/2016,04:00:00,REGULAR,0005193764,0008212200                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/20/2016,08:00:00,REGULAR,0005193812,0008212536                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/20/2016,12:00:00,REGULAR,0005194043,0008213368                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/20/2016,16:00:00,REGULAR,0005194433,0008213839                                             
A002,R051,02-03-01,59 ST,NQR456,BMT,05/20/2016,20:00:00,REGULAR,0005195339,0008214366                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/14/2016,00:00:00,REGULAR,0004907242,0006775841                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/14/2016,04:00:00,REGULAR,0004907242,0006775873                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/14/2016,08:00:00,REGULAR,0004907242,0006775977                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/14/2016,12:00:00,REGULAR,0004907242,0006776314                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/14/2016,16:00:00,REGULAR,0004907242,0006776652                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/14/2016,20:00:00,REGULAR,0004907242,0006776994                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/15/2016,00:00:00,REGULAR,0004907242,0006777165                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/15/2016,04:00:00,REGULAR,0004907242,0006777197                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/15/2016,08:00:00,REGULAR,0004907242,0006777265                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/15/2016,12:00:00,REGULAR,0004907242,0006777500                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/15/2016,16:00:00,REGULAR,0004907242,0006777791                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/15/2016,20:00:00,REGULAR,0004907242,0006778109                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/16/2016,00:00:00,REGULAR,0004907242,0006778240                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/16/2016,04:00:00,REGULAR,0004907242,0006778253                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/16/2016,08:00:00,REGULAR,0004907242,0006778650                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/16/2016,12:00:00,REGULAR,0004907242,0006779532                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/16/2016,16:00:00,REGULAR,0004907242,0006779842                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/16/2016,20:00:00,REGULAR,0004907242,0006780438                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/17/2016,00:00:00,REGULAR,0004907242,0006780612                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/17/2016,04:00:00,REGULAR,0004907242,0006780620                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/17/2016,07:42:01,REGULAR,0004907242,0006780966                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/17/2016,08:00:00,REGULAR,0004907242,0006781079                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/17/2016,12:00:00,REGULAR,0004907242,0006781956                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/17/2016,16:00:00,REGULAR,0004907242,0006782288                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/17/2016,20:00:00,REGULAR,0004907242,0006782841                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/18/2016,00:00:00,REGULAR,0004907242,0006783030                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/18/2016,04:00:00,REGULAR,0004907242,0006783043                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/18/2016,08:00:00,REGULAR,0004907242,0006783513                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/18/2016,12:00:00,REGULAR,0004907242,0006784388                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/18/2016,16:00:00,REGULAR,0004907242,0006784764                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/18/2016,20:00:00,REGULAR,0004907242,0006785388                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/19/2016,00:00:00,REGULAR,0004907242,0006785609                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/19/2016,04:00:00,REGULAR,0004907242,0006785627                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/19/2016,08:00:00,REGULAR,0004907242,0006786052                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/19/2016,12:00:00,REGULAR,0004907242,0006786924                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/19/2016,16:00:00,REGULAR,0004907242,0006787291                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/19/2016,20:00:00,REGULAR,0004907242,0006787935                                             
